,month,year
0,1,2010
1,4,2010
2,5,2010
3,7,2010
4,8,2010
5,1,2011
6,9,2011
7,10,2011
8,1,2012
9,2,2012
10,3,2012
11,6,2012
12,7,2012
13,8,2012
14,9,2012
15,10,2012
16,11,2012
17,12,2012
18,10,2013
19,6,2014
20,8,2014
21,11,2014
22,12,2014
23,1,2015
24,3,2015
25,5,2015
26,6,2015
27,7,2015
28,11,2015
29,4,2016
30,5,2016
31,6,2016
32,7,2016
33,9,2016
34,10,2016
35,11,2016
36,2,2017
37,3,2017
38,4,2017
39,5,2017
40,7,2017
41,8,2017
42,9,2017
43,10,2017
44,11,2017
45,1,2018
46,6,2018
47,9,2018
48,11,2018
49,12,2018
50,2,2019
51,3,2019
52,7,2019
53,8,2019
54,11,2019
55,12,2019
56,2,2020
57,3,2020
58,4,2020
59,5,2020
60,7,2020
61,8,2020
62,9,2020
63,10,2020
64,11,2020
65,12,2020
