,company_name
0,OFFICE PROPERTIES INCOME TRUST
1,5
2,"CYS Investments, Inc."
3,6
4,"MacroShares Housing Depositor, LLC"
5,11
6,"MacroShares Housing Depositor, LLC"
7,12
8,"STARWOOD PROPERTY TRUST, INC."
9,22
10,"Vivakor, Inc."
11,23
12,Aberdeen Standard Gold ETF Trust
13,25
14,CreXus Investment Corp.
15,27
16,"Apollo Commercial Real Estate Finance, Inc."
17,30
18,"United States Short Oil Fund, LP"
19,31
20,"Colony Capital, Inc."
21,33
22,"Inspyr Therapeutics, Inc."
23,51
24,"WEED, INC."
25,56
26,"Arista Power, Inc."
27,59
28,ISHARES DIVERSIFIED ALTERNATIVES TRUST
29,60
30,"United States 12 Month Natural Gas Fund, LP"
31,62
32,"Plastec Technologies, Ltd."
33,67
34,Revolutionary Concepts Inc
35,69
36,Chesapeake Lodging Trust
37,70
38,Baltic Trading Ltd
39,78
40,CRUDE CARRIERS CORP.
41,81
42,CorMedix Inc.
43,86
44,Scorpio Tankers Inc.
45,90
46,Chatham Lodging Trust
47,94
48,QuantGate Systems Inc.
49,100
50,PAA NATURAL GAS STORAGE LP
51,109
52,Predictive Oncology Inc.
53,110
54,S&W Seed Co
55,111
56,"Crumbs Bake Shop, Inc."
57,121
58,KEYNES TECHNOLOGY CO LTD
59,122
60,"United States Brent Oil Fund, LP"
61,124
62,Teucrium Commodity Trust
63,126
64,"Westmoreland Resource Partners, LP"
65,141
66,United States Commodity Index Funds Trust
67,159
68,ETFS Asian Gold Trust
69,167
70,"ARABELLA EXPLORATION, INC."
71,179
72,PRIME ACQUISITION CORP
73,180
74,MTGE Investment Corp.
75,184
76,Africa Growth Corp
77,185
78,"VEREIT, Inc."
79,189
80,Teucrium Commodity Trust
81,191
82,Teucrium Commodity Trust
83,192
84,Teucrium Commodity Trust
85,193
86,"HINTO ENERGY, INC"
87,195
88,Invesco CurrencyShares Chinese Renminbi Trust
89,196
90,Enduro Resource Partners LLC
91,199
92,Healthcare Corp of America
93,202
94,"LRR Energy, L.P."
95,205
96,CHESAPEAKE ENERGY CORP
97,207
98,United States Commodity Index Funds Trust
99,208
100,"Angie's List, Inc."
101,212
102,"Rose Rock Midstream, L.P."
103,217
104,"Mid-Con Energy Partners, LP"
105,222
106,Crestwood Midstream Partners LP
107,227
108,"AMERICAN REALTY CAPITAL TRUST, INC."
109,231
110,SELECT INCOME REIT
111,233
112,"MOJO DATA SOLUTIONS, INC."
113,235
114,Tecnoglass Inc.
115,239
116,BGS Acquisition Corp.
117,240
