,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth
0,Zovio Inc,ZVO,New York Stock Exchange,10.5,"13,500,000","$141,750,000",2009-04-15,/market-activity/ipos/overview?dealId=651558-59992,2971,"53,139,723",557967091.5,1811 E NORTHROP BLVD   CHANDLER AZ 85286,858-668-2586,Services-Educational Services,33420000.0,155468000.0,26431000.0,218290000.0,62822000.0,129246000.0,1.5468737238796393
1,"Recon Technology, Ltd",RCON,Nasdaq SmallCap Market,6.0,"1,700,000","$10,200,000",2009-07-30,/market-activity/ipos/overview?dealId=785247-59113,96,"3,951,811",23710866.0,"ROOM 601, 1 SHUI'AN SOUTH STREET CHAOYANG DISTRICT  BEIJING  100012",86 10 8494-5799,"Oil and Gas Field Services, Not Elsewhere Classified",2436607.0,3789779.0,1691949.0,9592261.0,5802482.0,8933083.0,0.2625411265661724
2,CUMBERLAND PHARMACEUTICALS INC,CPIX,Nasdaq National Market,17.0,"5,000,000","$85,000,000",2009-08-11,/market-activity/ipos/overview?dealId=109945-54387,59,"17,091,191",290550247.0,"2525 WEST END AVENUE SUITE 950  NASHVILLE, TN 37203",615-255-0068,Pharmaceutical Preparations,7282221.0,32029488.0,4766249.0,35075160.0,3045672.0,31119187.0,0.24984584117163347
3,SELECT MEDICAL HOLDINGS CORP,SEM,New York Stock Exchange,10.0,"30,000,000","$300,000,000",2009-09-25,/market-activity/ipos/overview?dealId=667059-58969,21700,"156,092,873",1560928730.0,C/O SELECT MEDICAL CORP 4714 GETTYSBURG RD  MECHANICSBURG PA 17055,717-972-1100,Services-Hospitals,196408000.0,361521000.0,22441000.0,2153362000.0,1791841000.0,2562425000.0,0.08118630332595927
4,"Echo Global Logistics, Inc.",ECHO,Nasdaq National Market,14.0,"5,700,000","$79,800,000",2009-10-02,/market-activity/ipos/overview?dealId=777083-58222,553,"21,493,655",300911170.0,600 WEST CHICAGO AVENUE SUITE 725  CHICAGO IL 60654,1-800-354-7993,Arrangement of Transportation of Freight and Cargo,4945195.0,43090276.0,2875556.0,202807631.0,159717355.0,45909023.0,1.1245080490212833
5,"Verisk Analytics, Inc.",VRSK,Nasdaq National Market,22.0,"85,250,000","$1,875,500,000",2009-10-07,/market-activity/ipos/overview?dealId=785278-59119,3731,"113,076,100",2487674200.0,545 WASHINGTON BOULEVARD   JERSEY CITY NJ 07310-1686,201-469-2000,Services-Computer Processing and Data Preparation,310542000.0,506653000.0,158228000.0,893550000.0,386897000.0,928877000.0,0.11388128821545883
6,"Mistras Group, Inc.",MG,New York Stock Exchange,12.5,"8,700,000","$108,750,000",2009-10-08,/market-activity/ipos/overview?dealId=780483-58603,2000,"26,458,778",330734725.0,195 CLARKSVILLE ROAD   PRINCETON JUNCTION NJ 08550,609-716-4000,Services-Engineering Services,16358000.0,54831000.0,7439000.0,152268000.0,97437000.0,119822000.0,0.2456377156600486
7,"ZST Digital Networks, Inc.",ZSTN,Nasdaq National Market,8.0,"3,125,000","$25,000,000",2009-10-20,/market-activity/ipos/overview?dealId=749091-61426,78,"11,479,826",91838608.0,"206 TONGBO STREET BOYAXICHENG, 2ND FLOOR  ZHENGZHOU, HENAN PROVINCE  450007",(86) 371-6771-6850,Radio and Television Broadcasting and Communications Equipment,8663258.0,9836576.0,6108471.0,55430819.0,45594243.0,17304329.0,0.930227200368169
8,Addus HomeCare Corp,ADUS,Nasdaq National Market,10.0,"5,400,000","$54,000,000",2009-10-28,/market-activity/ipos/overview?dealId=808693-61565,12578,"10,496,251",104962510.0,6303 COWBOYS WAY SUITE 600  FRISCO TX 75034,469-535-8200,Services-Home Health Care Services,10848000.0,69052000.0,4023000.0,236306000.0,167254000.0,135748000.0,0.21452250381616617
9,Hyatt Hotels Corp,H,New York Stock Exchange,25.0,"38,000,000","$950,000,000",2009-11-05,/market-activity/ipos/overview?dealId=809680-61714,45000,"38,034,407",950860175.0,150 NORTH RIVERSIDE PLAZA 8TH FLOOR  CHICAGO IL 60606,(312) 750-1234,Hotels and Motels,279000000.0,2228000000.0,113000000.0,3835000000.0,1607000000.0,6119000000.0,0.025949705724986623
10,"STR HOLDINGS, INC.",STRI,New York Stock Exchange,10.0,"12,300,000","$123,000,000",2009-11-06,/market-activity/ipos/overview?dealId=813353-62269,2100,"41,349,710",413497100.0,10 WATER STREET   ENFIELD CT 06082,860 272 4235,Unsupported Plastics Film and Sheet,70389000.0,113931000.0,28105000.0,288578000.0,174647000.0,620922000.0,0.6580749695479304
