,index
0,0
1,1
2,2
3,4
4,5
5,6
6,7
7,9
8,13
9,17
10,18
11,19
12,20
13,21
14,22
15,24
16,26
17,31
18,32
19,33
20,35
21,36
22,38
23,39
24,42
25,44
26,46
27,48
28,49
29,50
30,51
31,52
32,54
33,55
34,59
35,64
36,67
37,69
38,70
39,71
40,73
41,74
42,75
43,78
44,79
45,80
46,82
47,84
48,88
49,89
50,92
51,93
52,95
53,98
54,99
55,100
56,104
57,105
58,106
59,107
60,108
61,109
62,110
63,111
64,114
65,116
66,117
67,118
68,119
69,121
70,122
71,124
72,125
73,133
74,136
75,137
76,143
77,145
78,146
79,147
80,148
81,149
82,150
83,152
84,153
85,154
86,156
87,157
88,158
89,160
90,161
91,162
92,163
93,164
94,165
95,167
96,174
97,176
98,178
99,183
100,185
101,187
102,195
103,196
104,197
105,198
106,199
107,201
108,202
109,203
110,205
111,207
112,212
113,213
114,214
115,215
116,216
117,217
118,219
119,224
120,227
121,230
122,233
123,234
124,236
125,242
126,243
127,247
128,250
129,252
130,257
131,259
132,260
133,262
134,264
135,267
136,268
137,269
138,271
139,273
140,276
141,279
142,280
143,281
144,283
145,285
146,286
147,287
148,288
149,289
150,290
151,291
152,292
153,293
154,295
155,300
156,301
157,303
158,304
159,305
160,308
161,309
162,310
163,311
164,313
165,314
166,319
167,320
168,321
169,322
170,324
171,325
172,328
173,329
174,330
175,331
176,332
177,336
178,337
179,338
180,340
181,341
182,343
183,345
184,346
185,347
186,349
187,355
188,356
189,358
190,363
191,365
192,372
193,376
194,379
195,381
196,382
197,383
198,386
199,388
200,393
201,394
202,397
203,399
204,403
205,408
206,409
207,414
208,415
209,416
210,419
211,420
212,421
213,422
214,423
215,425
216,426
217,431
218,432
219,434
220,436
221,439
222,441
223,446
224,448
225,451
226,457
227,458
228,461
229,463
230,464
231,467
232,469
233,472
234,475
235,476
236,478
237,482
238,484
239,487
240,489
241,496
242,499
243,501
244,502
245,504
246,508
247,509
248,510
249,511
250,512
251,513
252,516
253,517
254,518
255,520
256,522
257,524
258,526
259,527
260,529
261,533
262,535
263,537
264,538
265,542
266,545
267,546
268,547
269,555
270,563
271,567
272,569
273,571
274,579
275,585
276,588
277,592
278,597
279,598
280,600
281,607
282,615
283,617
284,618
285,620
286,626
287,643
288,646
289,656
290,659
291,663
292,669
293,671
294,673
295,678
296,681
297,684
298,687
299,693
300,698
301,705
302,709
303,721
304,725
305,729
306,732
307,733
308,737
309,739
310,749
311,757
312,759
313,780
314,793
315,798
316,831
317,846
318,854
319,863
320,872
321,875
322,903
323,919
324,922
325,945
326,998
327,1009
328,1031
329,1036
330,1073
331,1074
332,1082
